Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
168123000,00000222,0,R,0,8,D2,00,3A,8A,00,00,00,00
168386000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
168688000,00000263,0,R,0,4,C0,80,40,00,,,,
168886000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
169091000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
169298000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
169574000,00000407,0,R,0,6,0A,01,00,00,00,00,,
169777000,00000525,0,R,0,8,FF,FF,0F,00,00,00,00,01
169999000,00000461,0,R,0,8,00,00,00,17,1B,80,00,00
170873000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
171148000,0000062A,0,R,0,8,5A,5A,09,35,53,37,77,32
171369000,00000411,0,R,0,6,00,01,00,00,00,00,,
171614000,00000325,0,R,0,8,FF,7F,00,00,78,2A,00,0F
171922000,00000400,0,R,0,6,01,01,00,00,00,00,,
172159000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
172401000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
172685000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
172983000,00000263,0,R,0,4,70,80,F0,00,,,,
173236000,00000521,0,R,0,8,0E,19,1E,00,01,05,8F,00
174187000,00000411,0,R,0,6,00,11,00,00,00,00,,
174442000,00000263,0,R,0,4,60,80,E0,00,,,,
174754000,0000040C,0,R,0,6,11,11,00,00,00,00,,
175008000,00000702,0,R,0,8,76,50,0C,18,04,00,00,00
175211000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
175439000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
175690000,00000402,0,R,0,6,03,11,00,00,00,00,,
175902000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
176127000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
176416000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
177346000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
177561000,0000040C,0,R,0,6,11,31,00,00,00,00,,
181769000,00000402,0,R,0,6,02,02,10,04,00,00,,
182726000,00000407,0,R,0,6,0A,01,00,00,00,00,,
182963000,0000062A,0,R,0,8,5A,5A,09,35,53,37,77,32
183227000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
183534000,00000263,0,R,0,4,20,80,A0,00,,,,
183783000,00000263,0,R,0,4,50,80,D0,00,,,,
184034000,00000407,0,R,0,6,0A,01,00,00,00,00,,
184336000,0000070B,0,R,0,8,16,50,16,D4,05,50,00,01
184594000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
184853000,00000402,0,R,0,6,03,01,00,00,00,00,,
185140000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
186140000,0000040B,0,R,0,6,0C,01,00,00,00,00,,
186352000,00000260,0,R,0,8,00,03,00,00,92,00,00,00
186562000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
186795000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
187058000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
187290000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
187511000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
187738000,00000164,0,R,0,8,80,00,06,00,00,00,00,00
188062000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
188277000,00000165,0,R,0,1,00,,,,,,,
189181000,00000402,0,R,0,6,03,01,00,00,00,00,,
189452000,00000403,0,R,0,6,07,11,00,00,00,00,,
189682000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
189912000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
190157000,00000401,0,R,0,6,02,11,00,00,00,00,,
190477000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
190715000,00000407,0,R,0,6,0A,11,00,00,00,00,,
190960000,00000222,0,R,0,8,D2,00,3A,8A,00,00,00,00
191213000,00000260,0,R,0,8,00,03,00,00,92,00,00,00
191538000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
